file,throughput_mean (tile/s),throughput_stddev (tile/s),throughput_max (tile/s),throughput_min (tile/s),latency_mean (ms),latency_stddev (ms),latency_max (ms),latency_min (ms),latency_p99_mean (ms),latency_p99_stddev (ms),latency_p99_max (ms),latency_p99_min (ms)
baseline.txt,0.689856,0.005039,0.6975,0.682283,1448.664915,10.613381,1464.721933,1432.744419,5294.982759,543.796241,5890.367033,4202.537328
flink_base.txt,16.255564,1.890776,18.34276,13.151697,4916.881128,1268.270337,7055.774642,3671.241482,9528.976989,1466.099744,12029.70829,8401.322784
flink_base_2.txt,15.386402,1.652308,18.024192,13.092607,5234.672717,1015.482632,6402.622146,3954.776026,10171.785507,1245.208719,12076.825017,8396.347503
flink_base_4.txt,15.352507,1.455427,17.898507,12.654408,5760.393529,1013.699044,7381.918945,3973.269937,10295.756097,1109.073509,12489.101762,8550.255581
flink_base_short.txt,15.369417,1.449673,18.048469,12.38467,5672.637225,1180.92236,7837.162042,4001.820308,10021.994748,1349.734844,12769.743981,8320.194589
flink_opt_2.txt,15.120362,2.416128,18.476929,12.101437,5837.728513,1694.18052,8843.665092,4111.714353,10543.627731,1699.750888,13078.01304,8394.876144
flink_opt_4.txt,14.969785,2.190349,18.360621,12.290322,6195.192431,1444.547354,8530.185996,4097.249962,10725.045186,1648.011323,12877.660324,8487.286102
kafka_streams.txt,3.233911,0.082822,3.318975,3.121159,22046.648246,618.633909,23188.005857,21169.160665,41093.183362,1223.900958,42892.844804,39973.949072
